x,g
-124.171875,-125.16400970989546264751691920147779
-124.15625,-125.14838374293840881906277059695755
-124.140625,-125.13275777574351449197699072576523
-124.125,-125.11713180831069188326063295593035
-124.109375,-125.10150584063985316670049362068873
-124.09375,-125.08587987273091047284251055163699
-124.078125,-125.07025390458377588896514195494926
-124.0625,-125.05462793619836145905272561370402
-124.046875,-125.03900196757457918376881839935237
-124.03125,-125.0233759987123410204295160753422
-124.015625,-125.00775002961155888297675337589598
-124,-124.99212406027214464195158434292333
-123.984375,-124.97649809069401012446744290403233
-123.96875,-124.96087212087706711418338367458713
-123.953125,-124.94524615082122735127730296674244
-123.9375,-124.92962018052640253241913998836852
-123.921875,-124.9139942099925043107440582147636
-123.90625,-124.89836823921944429582560691603371
-123.890625,-124.88274226820713405364886282300307
-123.875,-124.86711629695548510658355191450098
-123.859375,-124.8514903254644089333571513088548
-123.84375,-124.83586435373381696902797124240085
-123.828125,-124.82023838176362060495821711780898
-123.8125,-124.80461240955373118878703160499874
-123.796875,-124.78898643710406002440351677740868
-123.78125,-124.77336046441451837191973626636284
-123.765625,-124.75773449148501744764369741626189
-123.75,-124.74210851831546842405231342330878
-123.734375,-124.72648254490578242976434544046214
-123.71875,-124.71085657125587054951332463129328
-123.703125,-124.69523059736564382412045415540566
-123.6875,-124.67960462323501325046749106805839
-123.671875,-124.66397864886388978146960811661845
-123.65625,-124.64835267425218432604823541644872
-123.640625,-124.63272669939980774910388198882213
-123.625,-124.61710072430667087148893714343468
-123.609375,-124.6014747489726844699804516880731
-123.59375,-124.58584877339775927725289894797543
-123.578125,-124.57022279758180598185091557740569
-123.5625,-124.55459682152473522816202214594649
-123.546875,-124.53897084522645761638932348199595
-123.53125,-124.52334486868688370252418875593823
-123.515625,-124.5077188919059239983189112854393
-123.5,-124.49209291488348897125934804530262
-123.484375,-124.47646693761948904453753886430142
-123.46875,-124.46084096011383459702430529138753
-123.453125,-124.44521498236643596324182911365868
